Last Name,First Name,Position,G,A,HT,Salary,Points,PPM,Injured?,,,refNum
Williams,Justin,RW,24,24,0," $3,250,000.00 ",72,22.1538461538462,No,No,,159
Zibanejad,Mika,C/RW,14,23,0," $3,250,000.00 ",51,15.6923076923077,No,No,,160
Gionta,Brian,RW,15,20,0," $3,250,000.00 ",50,15.3846153846154,No,No,,161
Granlund,Mikael,C,26,43,1," $3,200,000.00 ",96,30,No,No,,162
Galchenyuk,Alex,C/LW,17,27,0," $3,100,000.00 ",61,19.6774193548387,No,No,,163
Cogliano,Andrew,LW/C/RW,16,19,0," $3,100,000.00 ",51,16.4516129032258,No,No,,164
Silfverberg,Jakob,RW/LW,23,26,0," $3,000,000.00 ",72,24,No,No,,165
Perreault,Mathieu,C/LW,13,32,0," $3,000,000.00 ",58,19.3333333333333,No,No,,166
Burrows,Alex,LW/RW,15,16,0," $3,000,000.00 ",46,15.3333333333333,No,No,,167
Stajan,Matt,C,6,17,0," $3,000,000.00 ",29,9.66666666666667,No,No,,168
Hansen,Jannik,RW,8,12,0," $3,000,000.00 ",28,9.33333333333333,No,No,,169
McGinn,Jamie,LW/RW,9,8,0," $3,000,000.00 ",26,8.66666666666667,No,No,,170
Komarov,Leo,C/LW,14,18,0," $2,950,000.00 ",46,15.593220338983,No,No,,171
Jenner,Boone,C/LW,18,16,0," $2,900,000.00 ",52,17.9310344827586,No,Yes,,172
Hertl,Tomas,C/RW,10,12,0," $2,800,000.00 ",32,11.4285714285714,Yes,No,,173
Miller,J.T.,LW/RW/C,22,34,0," $2,750,000.00 ",78,28.3636363636364,No,No,,174
Tatar,Tomas,LW/C/RW,25,21,1," $2,750,000.00 ",72,26.1818181818182,No,No,,175
Weise,Dale,RW,8,7,0," $2,750,000.00 ",23,8.36363636363636,No,No,,176
Sobotka,Vladimir,LW/C,1,0,0," $2,725,000.00 ",2,0.73394495412844,No,No,,177
Coyle,Charlie,C/RW,18,38,0," $2,600,000.00 ",74,28.4615384615385,No,No,,178
Hayes,Kevin,C/RW,17,32,0," $2,600,000.00 ",66,25.3846153846154,No,No,,179
Vanek,Thomas,LW/RW,17,31,0," $2,600,000.00 ",65,25,No,No,,180
Wingels,Tommy,C/RW/LW,7,5,0," $2,600,000.00 ",19,7.30769230769231,No,No,,181
